,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,black
5464,-0.1412,-0.0776,0.1148,-0.0165,-0.0108,-0.0138,-0.0032,-0.0431
245,0.0851,0.0923,-0.0505,0.051,0.018,0.0274,-0.0006,0.1129
1512,0.0689,0.1139,0.0966,0.0592,-0.0127,-0.0138,-0.0053,-0.068
2484,-0.0582,0.1158,0.0554,-0.159,-0.0167,-0.0154,0.004,0.0731
2887,0.0552,-0.0747,-0.2918,0.0402,-0.0086,-0.0116,-0.0026,-0.0541
239,0.1249,0.1037,0.0733,0.0457,-0.0097,-0.0096,0.0012,0.0869
1193,-0.1291,-0.0712,0.1281,0.0576,0.0466,0.049,0.0388,-0.0591
4628,0.1512,0.0708,0.1009,0.0419,0.0191,0.0229,-0.0011,0.075
2776,0.1196,0.0767,0.0825,0.0509,0.0252,0.0258,-0.0024,0.079
293,-0.1428,0.1132,0.1346,0.0832,-0.0156,-0.0188,0.0238,0.0863
4204,0.0871,0.0986,0.1167,0.0578,-0.0102,-0.0112,-0.002,0.0929
4184,0.1807,-0.0821,0.1291,-0.0549,0.0271,0.0244,-0.0032,-0.0546
3459,-0.0918,0.0972,0.0762,0.0838,0.0421,0.045,0.0202,0.0712
505,-0.0776,0.1072,0.1463,0.0799,-0.0138,-0.0165,0.0153,0.0753
1507,0.0582,-0.0946,0.0663,-0.1497,-0.0125,-0.0099,-0.0031,-0.0509
622,-0.0043,0.0928,0.1356,0.0368,-0.0126,-0.0155,-0.005,-0.0684
5192,0.1954,0.1061,-0.2918,0.0336,-0.0039,-0.0083,-0.0017,-0.0623
3381,0.1356,-0.0687,0.0069,-0.1462,0.0387,0.0276,-0.001,0.094
319,-0.0901,-0.0602,-0.0273,-0.1218,-0.0111,-0.0113,-0.0021,-0.0395
752,0.1675,0.0865,0.1065,0.0453,-0.009,-0.0107,-0.0002,0.0744
865,0.197,0.0953,0.1281,0.0469,-0.0115,-0.0112,0.0203,-0.0498
5635,0.1938,0.072,-0.2875,0.0268,0.0148,0.0272,-0.0045,-0.0732
5183,-0.0691,-0.0674,0.1406,0.0287,-0.0096,-0.0121,-0.0032,-0.0528
977,-0.1647,-0.1024,0.1278,0.0676,-0.0163,-0.0178,-0.0043,0.0736
23,0.0151,0.0909,0.1234,0.0509,0.0236,0.0297,-0.002,0.0926
4359,-0.0979,-0.0759,-0.0633,0.0487,-0.0125,-0.0155,-0.0022,0.0781
4209,-0.0886,0.1028,0.136,0.0378,-0.0111,-0.0108,-0.0001,0.0843
605,-0.0374,-0.0951,0.1273,-0.0532,-0.0129,-0.0094,-0.0029,0.062
1101,-0.0572,-0.0777,-0.198,0.0408,0.0308,0.0444,-0.0067,0.0806
3608,-0.0211,-0.0668,-0.2589,0.0402,-0.0102,-0.0125,-0.0039,-0.0411
