text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,6,0.955882,0.633588,0.175573,0.068702,"[26.4089, 20.1822, 11.3495, 11.584, 10.8918, 9.835]"
1,5,0.96,0.634921,0.150794,0.079365,"[44.0172, 19.1253, 10.3001, 9.1868, 8.2719]"
2,7,0.973684,0.647059,0.176471,0.084967,"[130.8806, 27.6973, 12.7296, 10.3974, 8.8158, 9.1932, 8.2941]"
3,6,0.943262,0.65493,0.147887,0.056338,"[73.3587, 22.1555, 13.0157, 10.9125, 10.9864, 9.2983]"
5,6,0.975155,0.677215,0.170886,0.082278,"[24.46, 11.6633, 10.7335, 10.3194, 9.9396, 9.2871]"
6,7,0.94,0.675497,0.172185,0.059603,"[33.0762, 25.4231, 15.0639, 11.812, 12.7741, 10.4239, 9.2794]"
7,6,0.945312,0.643411,0.186047,0.077519,"[44.0172, 20.4275, 12.5627, 9.4138, 10.5446, 9.4174]"
8,7,0.972067,0.641618,0.16763,0.069364,"[28.831, 25.6154, 16.101, 11.6362, 10.6154, 9.6206, 8.481]"
9,6,0.977099,0.704545,0.181818,0.075758,"[111.3499, 27.6817, 16.8364, 12.9628, 11.287, 10.2002]"
10,6,0.959184,0.638889,0.159722,0.069444,"[23.6472, 13.806, 10.6555, 9.3913, 9.0401, 8.46]"
13,7,0.962733,0.643312,0.210191,0.076433,"[37.9332, 23.7194, 14.3999, 9.8659, 8.7301, 8.2127, 7.3615]"
14,6,0.952381,0.633803,0.225352,0.042254,"[26.1889, 16.4981, 13.6127, 10.2695, 9.2922, 8.7254]"
15,7,0.957672,0.61413,0.163043,0.097826,"[24.1429, 10.1668, 8.2077, 7.4721, 7.1714, 6.7535, 6.2031]"
16,7,0.962963,0.625767,0.171779,0.067485,"[22.2033, 12.7288, 9.2277, 7.2473, 6.9962, 7.0839, 6.5283]"
17,6,0.968153,0.631579,0.138158,0.092105,"[18.7259, 11.6176, 8.8414, 8.4251, 7.7441, 7.1833]"
18,7,0.945205,0.673469,0.183673,0.081633,"[37.6901, 18.8242, 12.509, 9.9189, 10.2666, 8.3938, 7.3799]"
19,7,0.955975,0.625806,0.174194,0.070968,"[23.5102, 21.4672, 18.9206, 13.6622, 12.9782, 11.28, 9.69]"
20,6,0.960784,0.651316,0.203947,0.065789,"[124.8489, 13.3011, 11.1448, 10.2426, 10.0789, 8.8821]"
21,8,0.972678,0.625698,0.178771,0.072626,"[30.63, 15.1218, 10.1849, 8.8444, 7.453, 6.9974, 7.154, 6.5906]"
22,6,0.99187,0.739837,0.186992,0.065041,"[34.2218, 24.2685, 13.5568, 11.0195, 10.6402, 11.2073]"
23,6,0.934783,0.656934,0.175182,0.072993,"[41.7646, 19.646, 10.9505, 10.0496, 10.4868, 9.4627]"
24,7,0.963918,0.649215,0.193717,0.08377,"[75.0094, 18.3004, 12.7914, 8.9616, 8.2589, 7.9028, 7.7888]"
25,7,0.935484,0.624309,0.187845,0.071823,"[76.9427, 13.5982, 9.5133, 8.7175, 7.0746, 7.2023, 6.5877]"
26,6,0.945946,0.651007,0.154362,0.09396,"[26.7497, 13.4432, 9.454, 8.4424, 8.1066, 7.7414]"
27,8,0.938202,0.631285,0.178771,0.061453,"[38.5636, 25.913, 19.654, 12.0986, 8.4066, 7.9917, 7.0722, 6.4343]"
28,6,0.967949,0.673203,0.189542,0.091503,"[25.2341, 16.4408, 14.7934, 10.6738, 10.8766, 9.4204]"
29,6,0.941558,0.635762,0.178808,0.07947,"[17.3806, 11.5652, 10.7955, 8.2353, 8.3478, 7.3345]"
