text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,6,9.835,11.1571,11.5934,11.0737,1.3221,1.7584,1.2387,0.134433,0.178792,0.12595
1,5,8.2719,12.5017,10.4057,9.9769,4.2298,2.1337,1.705,0.511343,0.257948,0.206116
2,7,8.2941,10.7932,11.9355,9.4962,2.499,3.6414,1.202,0.301301,0.43903,0.144925
3,6,9.2983,10.6145,12.649,11.1725,1.3162,3.3507,1.8743,0.141555,0.360361,0.201569
5,6,9.2871,11.3809,12.2906,10.804,2.0938,3.0035,1.5169,0.225454,0.323409,0.163337
6,7,9.2794,10.5807,10.9451,10.3863,1.3013,1.6657,1.1069,0.140238,0.179504,0.119285
7,6,9.4174,10.6009,11.428,10.9169,1.1835,2.0106,1.4995,0.125668,0.213502,0.159226
8,7,8.481,10.3961,11.7197,9.6837,1.9151,3.2387,1.2027,0.22581,0.381876,0.141813
9,6,10.2002,12.0079,13.1895,12.3159,1.8076,2.9893,2.1157,0.177214,0.29306,0.207416
10,6,8.46,10.4694,10.4316,9.9468,2.0094,1.9716,1.4869,0.237519,0.233051,0.175754
13,7,7.3615,10.1062,10.7132,8.4995,2.7447,3.3516,1.138,0.372843,0.455289,0.154584
14,6,8.7254,10.253,11.7647,10.0843,1.5276,3.0393,1.3589,0.175069,0.348325,0.155738
15,7,6.2031,8.3964,9.6964,7.1665,2.1933,3.4933,0.9634,0.353581,0.563158,0.155311
16,7,6.5283,9.8437,9.716,7.4556,3.3154,3.1878,0.9273,0.507854,0.488306,0.142044
17,6,7.1833,8.3607,9.3392,8.3218,1.1774,2.1559,1.1385,0.163905,0.300124,0.158494
18,7,7.3799,9.6156,10.6673,8.3174,2.2358,3.2874,0.9375,0.302959,0.445461,0.127041
19,7,9.69,13.2571,14.7097,11.4086,3.5671,5.0197,1.7186,0.368121,0.51803,0.177355
20,6,8.8821,11.2589,11.2713,10.4103,2.3769,2.3892,1.5282,0.2676,0.268994,0.172059
21,8,6.5906,8.2372,9.7838,7.4412,1.6466,3.1932,0.8506,0.249845,0.48451,0.12906
22,6,11.2073,16.0683,14.3442,12.9349,4.861,3.1369,1.7276,0.433739,0.279899,0.154154
23,6,9.4627,13.1738,12.857,11.2583,3.7111,3.3943,1.7956,0.392183,0.358699,0.189758
24,7,7.7888,10.4022,11.3674,8.8143,2.6133,3.5786,1.0255,0.335521,0.459447,0.131657
25,7,6.5877,8.4826,9.4527,7.4837,1.8949,2.865,0.896,0.287638,0.434908,0.136018
26,6,7.7414,9.7732,11.5311,9.042,2.0318,3.7897,1.3006,0.262456,0.489542,0.168003
27,8,6.4343,9.9634,9.3669,7.0303,3.529,2.9326,0.596,0.548471,0.455775,0.092629
28,6,9.4204,10.4542,13.8298,11.3178,1.0338,4.4094,1.8974,0.109742,0.468066,0.201415
29,6,7.3345,9.8636,10.5652,8.7001,2.529,3.2306,1.3655,0.344808,0.440464,0.186179
