text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this instance, the model predicted not to recidivate.",4.83,4.98,-0.16
0,1,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,6.91,4.98,1.92
0,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.69,4.98,1.71
0,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,6.97,4.98,1.99
0,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.12,4.98,1.13
1,0,"For this instance, the model predicted to recidivate.",5.15,5.37,-0.22
1,1,Black (Indicator if the individual is recorded as Black) is the most important feature and has a positive influence on the prediction.,6.79,5.37,1.42
1,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,8.01,5.37,2.64
1,3,Age (Age of the individual) is the third most important feature and has a positive influence on the prediction.,7.66,5.37,2.29
1,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,7.12,5.37,1.75
2,0,"For this instance, the model predicted to recidivate.",5.26,5.57,-0.31
2,1,Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction.,6.57,5.57,1.0
2,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.93,5.57,2.36
2,3,Age (Age of the individual) is the third most important feature and has a positive influence on the prediction.,8.13,5.57,2.57
2,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,7.11,5.57,1.54
3,0,"For this instance, the model predicted not to recidivate.",4.95,5.02,-0.07
3,1,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,6.51,5.02,1.48
3,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,7.04,5.02,2.02
3,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,6.84,5.02,1.82
3,4,Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.,6.7,5.02,1.67
4,0,"For this instance, the model predicted not to recidivate.",4.91,5.24,-0.33
4,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,6.73,5.24,1.5
4,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,7.06,5.24,1.82
4,3,Age (Age of the individual) is the third most important feature and has a positive influence on the prediction.,7.47,5.24,2.23
4,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.65,5.24,1.42
5,0,"For this instance, the model predicted to recidivate.",4.78,5.13,-0.36
5,1,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,7.22,5.13,2.09
5,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,7.22,5.13,2.08
5,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,6.93,5.13,1.79
5,4,Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction.,6.48,5.13,1.35
6,0,"For this instance, the model predicted to recidivate.",4.83,5.27,-0.45
6,1,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,7.08,5.27,1.8
6,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.14,5.27,1.87
6,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,7.45,5.27,2.18
6,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.61,5.27,1.34
7,0,"For this instance, the model predicted to recidivate.",4.55,5.0,-0.45
7,1,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,6.98,5.0,1.98
7,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.72,5.0,1.72
7,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,6.72,5.0,1.72
7,4,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.,6.69,5.0,1.69
8,0,"For this instance, the model predicted to recidivate.",4.55,5.0,-0.45
8,1,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,6.98,5.0,1.98
8,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.72,5.0,1.72
8,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,6.72,5.0,1.72
8,4,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.,6.69,5.0,1.69
9,0,"For this instance, the model predicted to recidivate.",4.76,5.2,-0.44
9,1,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,6.96,5.2,1.76
9,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.1,5.2,1.89
9,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,7.39,5.2,2.18
9,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,6.58,5.2,1.37
10,0,"For this instance, the model predicted to recidivate.",4.72,5.19,-0.47
10,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,6.84,5.19,1.65
10,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,7.32,5.19,2.12
10,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,7.12,5.19,1.93
10,4,Age (Age of the individual) is the 4th most important feature and has a positive influence on the prediction.,7.04,5.19,1.85
11,0,"For this instance, the model predicted to recidivate.",4.43,4.8,-0.36
11,1,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,6.69,4.8,1.9
11,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.87,4.8,2.08
11,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,6.05,4.8,1.26
11,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a negative influence on the prediction.,6.38,4.8,1.59
12,0,"For this instance, the model predicted to recidivate.",4.92,5.21,-0.29
12,1,Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction.,5.92,5.21,0.71
12,2,Age (Age of the individual) is the second most important feature and has a negative influence on the prediction.,7.42,5.21,2.21
12,3,Months_in_jail (Number of months spent in jail) is the third most important feature and has a positive influence on the prediction.,7.62,5.21,2.42
12,4,Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction.,7.02,5.21,1.82
13,0,"For this instance, the model predicted to recidivate.",4.53,4.96,-0.43
13,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,6.76,4.96,1.8
13,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,6.08,4.96,1.12
13,3,Months_in_jail (Number of months spent in jail) is the third most important feature and has a positive influence on the prediction.,7.14,4.96,2.18
13,4,Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.,6.61,4.96,1.65
14,0,"For this instance, the model predicted not to recidivate.",4.78,4.88,-0.1
14,1,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,6.71,4.88,1.84
14,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,6.06,4.88,1.18
14,3,Number_of_prior_crimes (Number of prior crimes committed) is the third most important feature and has a positive influence on the prediction.,6.82,4.88,1.94
14,4,Age (Age of the individual) is the 4th most important feature and has a positive influence on the prediction.,6.44,4.88,1.57
15,0,"For this instance, the model predicted to recidivate.",4.86,5.3,-0.44
15,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,7.14,5.3,1.84
15,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,7.39,5.3,2.09
15,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction.,7.02,5.3,1.71
15,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,7.07,5.3,1.77
16,0,"For this instance, the model predicted not to recidivate.",4.74,5.02,-0.28
16,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,6.07,5.02,1.05
16,2,Age (Age of the individual) is the second most important feature and has a positive influence on the prediction.,7.51,5.02,2.49
16,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,6.94,5.02,1.92
16,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.23,5.02,1.21
