text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.592593,0.4375,0.1375,0.0625,"[127.7657, 23.8004, 8.0376, 5.0748, 3.8605]"
1,5,0.630952,0.45679,0.123457,0.061728,"[84.138, 23.7201, 8.839, 5.8406, 4.2972]"
2,5,0.621951,0.45679,0.135802,0.061728,"[84.138, 23.7201, 9.0085, 5.4116, 4.0986]"
3,5,0.630952,0.45679,0.123457,0.061728,"[84.138, 23.7201, 9.0085, 5.4083, 4.1536]"
4,5,0.617284,0.45,0.1375,0.0625,"[127.7657, 21.3896, 9.5639, 5.8512, 4.4646]"
5,5,0.621951,0.444444,0.135802,0.061728,"[84.138, 21.4242, 7.8403, 5.0739, 3.9638]"
6,5,0.592593,0.4375,0.1375,0.0625,"[127.7657, 25.7077, 9.0051, 5.4765, 4.1109]"
7,5,0.621951,0.45679,0.135802,0.061728,"[84.138, 23.7201, 9.0085, 5.4083, 4.1086]"
8,5,0.621951,0.444444,0.135802,0.061728,"[84.138, 23.7201, 8.7548, 5.5375, 4.2889]"
9,5,0.617284,0.4625,0.15,0.0625,"[84.138, 19.2384, 8.5572, 5.5357, 4.2823]"
10,5,0.617284,0.4375,0.1375,0.0625,"[127.7657, 23.8004, 8.0672, 5.127, 3.9396]"
11,5,0.621951,0.455696,0.139241,0.063291,"[127.7657, 25.7077, 10.7438, 6.5041, 4.6807]"
12,5,0.617284,0.45,0.1375,0.0625,"[127.7657, 21.3896, 10.1893, 6.264, 4.7293]"
13,5,0.617284,0.4375,0.1375,0.0625,"[127.7657, 27.0732, 9.3605, 5.5903, 4.2631]"
14,5,0.617284,0.45,0.1375,0.0625,"[127.7657, 23.8004, 8.0672, 5.2897, 4.2493]"
15,5,0.597561,0.444444,0.135802,0.061728,"[84.138, 19.2384, 8.7828, 5.5493, 4.183]"
16,5,0.621951,0.444444,0.135802,0.061728,"[84.138, 19.2384, 8.7828, 5.5493, 4.2631]"
17,5,0.617284,0.45,0.1375,0.0625,"[127.7657, 23.8004, 8.2092, 5.1609, 4.0749]"
18,5,0.617284,0.45,0.1375,0.0625,"[127.7657, 25.7077, 9.0051, 5.5102, 4.1786]"
19,5,0.621951,0.45679,0.135802,0.061728,"[84.138, 19.2384, 8.7828, 5.5301, 4.1897]"
20,5,0.597561,0.432099,0.135802,0.061728,"[84.138, 19.2384, 8.7828, 5.5493, 4.2673]"
21,5,0.621951,0.45679,0.135802,0.061728,"[84.138, 23.7201, 8.7548, 5.5375, 4.2191]"
22,5,0.592593,0.4375,0.1375,0.0625,"[127.7657, 25.7077, 9.0051, 5.4765, 4.1109]"
23,5,0.621951,0.444444,0.135802,0.061728,"[84.138, 23.7201, 8.839, 5.3903, 4.1791]"
24,5,0.607143,0.46988,0.13253,0.060241,"[84.138, 23.7201, 9.0085, 5.4116, 4.0278]"
25,5,0.621951,0.45679,0.135802,0.061728,"[84.138, 21.4242, 8.0081, 5.0201, 4.0716]"
26,5,0.597561,0.432099,0.135802,0.061728,"[84.138, 23.7201, 8.8593, 5.5143, 4.279]"
27,5,0.592593,0.4375,0.1375,0.0625,"[127.7657, 25.7077, 9.0506, 5.4052, 4.0522]"
28,5,0.621951,0.444444,0.135802,0.061728,"[84.138, 21.4242, 8.0081, 4.9379, 3.9932]"
29,5,0.617284,0.45,0.1375,0.0625,"[127.7657, 23.8004, 8.2092, 5.0138, 3.9786]"
