text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,5,3.8605,4.7487,5.9696,4.9657,0.8882,2.1091,1.1052,0.230069,0.546319,0.286269
1,5,4.2972,6.3631,5.2818,5.5125,2.0659,0.9846,1.2153,0.480759,0.229126,0.282818
2,5,4.0986,4.6409,5.9162,5.3099,0.5423,1.8176,1.2113,0.132323,0.443473,0.295544
3,5,4.1536,4.3548,5.8517,5.3943,0.2012,1.6981,1.2407,0.048437,0.408816,0.298708
4,5,4.4646,6.4113,5.94,5.7314,1.9466,1.4754,1.2668,0.436018,0.330474,0.283746
5,5,3.9638,5.6773,4.8833,4.982,1.7134,0.9195,1.0182,0.432273,0.231976,0.256878
6,5,4.1109,4.8152,6.0043,5.4965,0.7043,1.8934,1.3856,0.171332,0.460592,0.337061
7,5,4.1086,4.5948,6.0589,5.3397,0.4862,1.9503,1.2311,0.11834,0.474698,0.299648
8,5,4.2889,4.9533,4.9556,5.5063,0.6644,0.6667,1.2174,0.154907,0.15545,0.283846
9,5,4.2823,6.4113,5.3328,5.5708,2.1291,1.0505,1.2885,0.497191,0.24532,0.300897
10,5,3.9396,4.6405,4.8939,5.0665,0.7009,0.9543,1.1269,0.177921,0.242246,0.286052
11,5,4.6807,4.4583,6.197,6.2999,-0.2225,1.5163,1.6191,-0.047527,0.323942,0.345912
12,5,4.7293,5.9032,4.7232,6.064,1.1739,-0.0061,1.3347,0.248213,-0.001298,0.282221
13,5,4.2631,4.6192,4.9508,5.436,0.3561,0.6877,1.1728,0.08354,0.161317,0.275116
14,5,4.2493,6.3391,4.9925,5.5311,2.0898,0.7432,1.2817,0.491784,0.174888,0.301635
15,5,4.183,4.9681,5.9803,5.369,0.7852,1.7973,1.186,0.187701,0.42966,0.283533
16,5,4.2631,4.8912,4.9937,5.3352,0.6281,0.7306,1.0721,0.147324,0.171367,0.251478
17,5,4.0749,5.7225,6.1258,5.1406,1.6476,2.0509,1.0657,0.404337,0.503308,0.261521
18,5,4.1786,4.949,6.0491,5.5906,0.7704,1.8705,1.412,0.184363,0.447643,0.337909
19,5,4.1897,4.9345,5.9134,5.3711,0.7448,1.7237,1.1814,0.177778,0.411416,0.281989
20,5,4.2673,4.8933,4.8835,5.3475,0.6261,0.6162,1.0803,0.146711,0.144399,0.253149
21,5,4.2191,4.8969,5.9922,5.5705,0.6778,1.7731,1.3513,0.160655,0.420246,0.32029
22,5,4.1109,4.8152,6.0043,5.4965,0.7043,1.8934,1.3856,0.171332,0.460592,0.337061
23,5,4.1791,4.5967,4.8172,5.2935,0.4177,0.6381,1.1144,0.099947,0.152688,0.26667
24,5,4.0278,4.4841,4.8708,5.2635,0.4563,0.843,1.2357,0.113284,0.209308,0.306795
25,5,4.0716,6.3489,4.8621,5.4271,2.2773,0.7906,1.3555,0.559324,0.194173,0.332927
26,5,4.279,4.899,4.8992,5.5356,0.62,0.6202,1.2566,0.144888,0.144944,0.293666
27,5,4.0522,4.5959,5.9921,5.2744,0.5437,1.9399,1.2223,0.134181,0.478732,0.301631
28,5,3.9932,4.873,4.5197,5.1025,0.8798,0.5265,1.1093,0.22032,0.131848,0.277807
29,5,3.9786,6.3389,5.9328,5.3277,2.3604,1.9543,1.3491,0.593269,0.491197,0.339089
