text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,43.59
0,2,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,11.95
0,3,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,6.15
0,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,4.54
0,5,"For this instance, the model predicted to get a man of the match award.",5.7
1,1,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,43.59
1,2,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,11.95
1,3,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,6.15
1,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,4.54
1,5,"For this instance, the model predicted to get a man of the match award.",5.7
2,1,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,43.59
2,2,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,11.95
2,3,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,6.15
2,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,4.54
2,5,"For this instance, the model predicted to get a man of the match award.",5.7
3,1,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,43.59
3,2,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,11.95
3,3,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,6.15
3,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,4.54
3,5,"For this instance, the model predicted to get a man of the match award.",5.7
4,1,Corners (Number of corner kicks) is the third most important feature and has a positive influence on the prediction.,28.67
4,2,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,8.25
4,3,Ball possession % (Percentage of ball possession) is the second most important feature and has a positive influence on the prediction.,4.97
4,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,3.87
4,5,"For this instance, the model predicted not to get a man of the match award.",4.97
5,1,Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction.,33.24
5,2,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,10.49
5,3,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,5.61
5,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,4.55
5,5,"For this instance, the model predicted not to get a man of the match award.",5.72
6,1,Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction.,33.24
6,2,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,10.49
6,3,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,5.61
6,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,4.55
6,5,"For this instance, the model predicted not to get a man of the match award.",5.72
7,1,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,43.59
7,2,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,11.95
7,3,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,6.15
7,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,4.54
7,5,"For this instance, the model predicted to get a man of the match award.",5.7
