text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this instance, the model predicted to get a man of the match award.",4.06,5.34,-1.28
0,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.89,5.34,2.55
0,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.72,5.34,2.38
0,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.92,5.34,1.58
0,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.27,5.34,1.94
1,0,"For this instance, the model predicted to get a man of the match award.",4.06,5.34,-1.28
1,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.89,5.34,2.55
1,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.72,5.34,2.38
1,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.92,5.34,1.58
1,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.27,5.34,1.94
2,0,"For this instance, the model predicted to get a man of the match award.",4.06,5.34,-1.28
2,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.89,5.34,2.55
2,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.72,5.34,2.38
2,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.92,5.34,1.58
2,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.27,5.34,1.94
3,0,"For this instance, the model predicted to get a man of the match award.",4.06,5.34,-1.28
3,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.89,5.34,2.55
3,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.72,5.34,2.38
3,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.92,5.34,1.58
3,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.27,5.34,1.94
4,0,"For this instance, the model predicted not to get a man of the match award.",3.7,4.84,-1.14
4,1,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,7.05,4.84,2.21
4,2,Ball possession % (Percentage of ball possession) is the second most important feature and has a positive influence on the prediction.,6.99,4.84,2.15
4,3,Corners (Number of corner kicks) is the third most important feature and has a positive influence on the prediction.,6.63,4.84,1.79
4,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,6.33,4.84,1.49
5,0,"For this instance, the model predicted not to get a man of the match award.",4.22,5.39,-1.17
5,1,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,7.31,5.39,1.92
5,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.71,5.39,2.32
5,3,Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction.,7.61,5.39,2.23
5,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,6.63,5.39,1.24
6,0,"For this instance, the model predicted not to get a man of the match award.",4.22,5.39,-1.17
6,1,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,7.31,5.39,1.92
6,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.71,5.39,2.32
6,3,Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction.,7.61,5.39,2.23
6,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,6.63,5.39,1.24
7,0,"For this instance, the model predicted to get a man of the match award.",4.06,5.34,-1.28
7,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.89,5.34,2.55
7,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.72,5.34,2.38
7,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.92,5.34,1.58
7,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.27,5.34,1.94
8,0,"For this instance, the model predicted not to get a man of the match award.",4.03,5.33,-1.3
8,1,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,7.08,5.33,1.75
8,2,Passes (Total number of passes) is the second most important feature and has a positive influence on the prediction.,7.66,5.33,2.32
8,3,Corners (Number of corner kicks) is the third most important feature and has a positive influence on the prediction.,7.62,5.33,2.29
8,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,6.52,5.33,1.19
9,0,"For this instance, the model predicted not to get a man of the match award.",4.22,5.39,-1.17
9,1,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,7.31,5.39,1.92
9,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.71,5.39,2.32
9,3,Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction.,7.61,5.39,2.23
