text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction.,29.26
0,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,9.7
0,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
0,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.16
0,5,"For this instance, the model predicted to have a stroke.",5.36
1,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
1,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.63
1,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
1,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.15
1,5,"For this instance, the model predicted not to have a stroke.",5.24
2,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
2,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.63
2,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
2,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.15
2,5,"For this instance, the model predicted not to have a stroke.",5.24
3,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
3,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.63
3,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
3,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.15
3,5,"For this instance, the model predicted not to have a stroke.",5.24
4,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
4,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,9.38
4,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.36
4,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.13
4,5,"For this instance, the model predicted to have a stroke.",5.32
5,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
5,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
5,3,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.81
