text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.597561,0.4375,0.15,0.075,"[126.3278, 45.1664, 11.2076, 6.3727, 5.4192]"
1,5,0.582278,0.428571,0.142857,0.064935,"[126.3278, 45.1664, 11.2076, 6.5578, 4.604]"
2,5,0.5875,0.397436,0.141026,0.064103,"[175.813, 46.9287, 14.1104, 7.1787, 5.209]"
3,5,0.555556,0.392405,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 6.4006, 4.7279]"
4,5,0.576923,0.407895,0.144737,0.065789,"[175.813, 50.5557, 11.7892, 8.3777, 6.3269]"
5,5,0.580247,0.405063,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 7.4427, 5.1038]"
6,5,0.555556,0.392405,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 6.4006, 4.7279]"
7,5,0.576923,0.421053,0.144737,0.065789,"[175.813, 46.9287, 11.1635, 7.5324, 5.2936]"
8,5,0.555556,0.392405,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 6.4006, 4.7279]"
9,5,0.582278,0.415584,0.155844,0.064935,"[126.3278, 45.1664, 11.2076, 6.3727, 5.2732]"
10,5,0.555556,0.392405,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 6.4006, 4.7279]"
11,5,0.578313,0.432099,0.148148,0.074074,"[175.813, 46.9287, 11.1635, 7.6712, 6.0026]"
12,5,0.5875,0.435897,0.141026,0.064103,"[126.3278, 45.1664, 11.2076, 7.6039, 5.4001]"
13,5,0.582278,0.402597,0.142857,0.064935,"[126.3278, 45.1664, 11.2076, 6.4881, 5.5896]"
14,5,0.555556,0.392405,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 7.4427, 5.0917]"
15,5,0.576923,0.421053,0.144737,0.065789,"[126.3278, 45.1664, 11.2076, 7.148, 5.6994]"
16,5,0.592593,0.405063,0.139241,0.063291,"[175.813, 46.9287, 11.1635, 7.4357, 5.3021]"
17,5,0.580247,0.405063,0.151899,0.063291,"[126.3278, 45.1664, 11.2076, 7.6039, 5.223]"
18,5,0.592593,0.405063,0.139241,0.063291,"[126.3278, 45.1664, 11.2076, 7.6039, 5.3997]"
19,5,0.5625,0.384615,0.141026,0.064103,"[175.813, 46.9287, 11.1635, 6.4006, 4.743]"
20,5,0.597561,0.425,0.1375,0.075,"[126.3278, 45.1664, 11.2076, 6.4553, 5.5032]"
21,5,0.5625,0.384615,0.141026,0.064103,"[175.813, 46.9287, 11.1635, 6.4006, 4.743]"
22,5,0.592593,0.392405,0.139241,0.075949,"[126.3278, 45.1664, 11.2076, 6.4553, 5.2912]"
23,5,0.592593,0.417722,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 8.0462, 5.6835]"
24,5,0.5875,0.397436,0.141026,0.064103,"[175.813, 46.9287, 11.2269, 6.503, 4.8103]"
25,5,0.5875,0.423077,0.153846,0.064103,"[126.3278, 45.1664, 11.2076, 7.6039, 6.0704]"
26,5,0.555556,0.392405,0.151899,0.063291,"[175.813, 46.9287, 11.1635, 7.4427, 5.0917]"
27,5,0.5875,0.397436,0.141026,0.064103,"[175.813, 46.9287, 11.2269, 6.4708, 4.7144]"
28,5,0.5875,0.397436,0.141026,0.064103,"[175.813, 46.9287, 11.2269, 6.4708, 4.7144]"
29,5,0.582278,0.428571,0.12987,0.064935,"[126.3278, 45.1664, 11.2076, 7.5029, 6.0419]"
