text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
0,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,13.1
0,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.99
0,4,Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction.,5.06
0,5,"For this instance, the model predicted to fail.",6.08
1,1,Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction.,30.27
1,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,13.57
1,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,6.27
1,4,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,4.32
1,5,"For this instance, the model predicted to fail.",5.31
2,1,G1 (First period grade) is the third most important feature and has a negative influence on the prediction.,68.35
2,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,10.69
2,3,Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction.,6.24
2,4,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,4.52
2,5,"For this instance, the model predicted to pass.",5.59
3,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
3,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
3,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.84
3,4,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.34
3,5,"For this instance, the model predicted to pass.",5.33
4,1,Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction.,80.07
4,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,23.46
4,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,8.49
4,4,Health (Current health status) is the 4th most important feature and has a positive influence on the prediction.,6.51
4,5,"For this instance, the model predicted to pass.",7.83
5,1,Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction.,39.98
5,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,15.99
5,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,6.8
5,4,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,4.55
5,5,"For this instance, the model predicted to pass.",5.52
6,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
6,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
6,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.84
6,4,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.34
6,5,"For this instance, the model predicted to pass.",5.33
7,1,Fjob (Father's job) is the third most important feature and has a negative influence on the prediction.,55.75
7,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,19.03
7,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,7.51
7,4,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,5.32
7,5,"For this instance, the model predicted to pass.",6.55
8,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
8,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
8,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.84
8,4,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.34
8,5,"For this instance, the model predicted to pass.",5.33
9,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
9,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,13.1
9,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.99
9,4,Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.,4.89
9,5,"For this instance, the model predicted to fail.",5.98
10,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
10,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
10,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.84
10,4,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.34
10,5,"For this instance, the model predicted to pass.",5.33
11,1,Goout (Frequency of going out with friends) is the third most important feature and has a positive influence on the prediction.,38.82
11,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,18.56
11,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,7.58
11,4,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,5.95
11,5,"For this instance, the model predicted to pass.",7.13
12,1,Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction.,41.85
12,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,17.5
12,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.37
12,4,Pstatus (Parent's cohabitation status) is the 4th most important feature and has a positive influence on the prediction.,5.23
12,5,"For this instance, the model predicted to fail.",6.29
13,1,Age (Age of the student) is the third most important feature and has a negative influence on the prediction.,29.75
13,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,13.23
13,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.87
13,4,Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.,4.96
13,5,"For this instance, the model predicted to fail.",6.14
14,1,Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction.,39.98
14,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,15.99
14,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,6.8
14,4,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,4.53
14,5,"For this instance, the model predicted to pass.",5.51
15,1,Medu (Mother's education level) is the third most important feature and has a positive influence on the prediction.,53.86
15,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,19.15
15,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.74
15,4,Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.,5.96
15,5,"For this instance, the model predicted to fail.",7.09
16,1,Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction.,41.85
16,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,16.61
16,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,7.09
16,4,Age (Age of the student) is the 4th most important feature and has a negative influence on the prediction.,5.12
16,5,"For this instance, the model predicted to pass.",6.29
17,1,Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction.,41.85
17,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,17.5
17,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.37
17,4,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,4.86
17,5,"For this instance, the model predicted to fail.",5.79
18,1,Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction.,41.85
18,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,17.5
18,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.37
18,4,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,5.29
18,5,"For this instance, the model predicted to fail.",6.35
19,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
19,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
19,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.84
19,4,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,4.37
19,5,"For this instance, the model predicted to pass.",5.5
20,1,Age (Age of the student) is the third most important feature and has a positive influence on the prediction.,28.73
20,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,12.54
20,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.69
20,4,Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction.,4.8
20,5,"For this instance, the model predicted to fail.",5.89
21,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
21,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
21,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.84
21,4,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,4.37
21,5,"For this instance, the model predicted to pass.",5.5
22,1,Age (Age of the student) is the third most important feature and has a positive influence on the prediction.,28.73
22,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,12.54
22,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.69
22,4,Reason (Reason for choosing the school) is the 4th most important feature and has a positive influence on the prediction.,4.66
22,5,"For this instance, the model predicted to fail.",5.86
23,1,Higher (Desire to pursue higher education) is the third most important feature and has a negative influence on the prediction.,41.49
23,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,18.3
23,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,7.5
23,4,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,5.29
23,5,"For this instance, the model predicted to pass.",6.49
24,1,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,27.04
24,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.91
24,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.97
24,4,Age (Age of the student) is the 4th most important feature and has a negative influence on the prediction.,4.46
24,5,"For this instance, the model predicted to pass.",5.62
25,1,Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction.,41.85
25,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,17.5
25,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.37
25,4,Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.,5.86
25,5,"For this instance, the model predicted to fail.",6.88
26,1,Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction.,39.98
26,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,15.99
26,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,6.8
26,4,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,4.53
26,5,"For this instance, the model predicted to pass.",5.51
27,1,Age (Age of the student) is the third most important feature and has a positive influence on the prediction.,28.73
27,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.33
27,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.64
27,4,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,3.93
27,5,"For this instance, the model predicted to pass.",4.99
28,1,Age (Age of the student) is the third most important feature and has a positive influence on the prediction.,28.73
28,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,12.33
28,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.64
28,4,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,3.93
28,5,"For this instance, the model predicted to pass.",4.99
29,1,Health (Current health status) is the third most important feature and has a positive influence on the prediction.,53.45
29,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,19.43
29,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.57
29,4,Famrel (Quality of family relationships) is the 4th most important feature and has a positive influence on the prediction.,6.1
29,5,"For this instance, the model predicted to fail.",7.43
