text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.953333,0.558442,0.188312,0.090909,"[13.5047, 9.3572, 7.4848, 7.9577, 7.3741]"
1,5,0.946309,0.582781,0.15894,0.059603,"[23.5599, 14.9113, 11.6804, 9.3809, 7.4378]"
2,5,0.95092,0.598765,0.185185,0.067901,"[24.6071, 12.3047, 8.9879, 8.2081, 7.9764]"
3,5,0.956835,0.614286,0.171429,0.078571,"[37.9554, 15.7147, 9.5019, 8.2012, 8.9437]"
4,5,0.971631,0.588652,0.170213,0.06383,"[29.8723, 8.9829, 8.4049, 9.3616, 9.1383]"
5,5,0.912371,0.538071,0.162437,0.081218,"[12.0852, 9.7217, 9.1013, 8.3663, 7.8024]"
6,5,0.932099,0.593939,0.175758,0.090909,"[18.4924, 10.7094, 9.1589, 8.8691, 7.7941]"
7,5,0.94,0.586667,0.153333,0.08,"[25.3714, 12.3351, 9.6661, 9.3748, 7.9528]"
8,5,0.966443,0.671141,0.154362,0.087248,"[24.7279, 10.929, 8.4997, 7.9979, 6.8878]"
9,5,0.957746,0.566434,0.195804,0.062937,"[37.9554, 9.0237, 7.425, 6.5524, 6.7755]"
10,5,0.930636,0.542373,0.152542,0.084746,"[16.9194, 11.2878, 8.9071, 8.8243, 7.0609]"
11,5,0.970588,0.622093,0.162791,0.081395,"[32.0211, 19.0045, 13.5796, 12.1043, 9.423]"
12,5,0.96648,0.611429,0.154286,0.091429,"[16.8584, 14.003, 12.9252, 10.3385, 9.0822]"
13,5,0.92517,0.613333,0.18,0.093333,"[33.3597, 15.6508, 10.2001, 7.0124, 7.0752]"
14,5,0.970588,0.561404,0.181287,0.081871,"[11.8492, 8.8994, 8.4572, 8.0095, 6.876]"
15,5,0.902439,0.511905,0.142857,0.083333,"[13.1257, 7.4121, 6.3978, 5.7314, 5.4775]"
16,5,0.969697,0.637037,0.17037,0.081481,"[37.9554, 14.0004, 10.3161, 8.9651, 8.112]"
17,5,0.938272,0.58642,0.141975,0.104938,"[12.3743, 8.7386, 7.2429, 7.4114, 6.8946]"
18,5,0.94375,0.569697,0.187879,0.066667,"[17.0405, 8.8416, 7.4706, 7.5752, 6.8753]"
19,5,0.921053,0.605263,0.144737,0.065789,"[44.5379, 8.8133, 7.588, 6.4455, 5.8739]"
20,5,0.961538,0.591195,0.188679,0.08805,"[37.9554, 10.0645, 7.9194, 6.69, 7.16]"
21,5,0.972414,0.644295,0.194631,0.067114,"[25.9097, 16.21, 12.4098, 11.3785, 9.2021]"
22,5,0.972603,0.62069,0.2,0.096552,"[21.0328, 11.5407, 8.2053, 8.7904, 7.7547]"
23,5,0.931677,0.533333,0.187879,0.072727,"[21.1827, 10.1711, 9.0204, 8.3127, 6.8743]"
24,5,0.942197,0.607955,0.147727,0.073864,"[18.0053, 11.3533, 9.2751, 8.0207, 7.2663]"
25,5,0.939189,0.577181,0.167785,0.080537,"[44.5379, 9.891, 9.8763, 8.0415, 7.5865]"
26,5,0.970803,0.661871,0.179856,0.079137,"[17.5944, 12.4497, 9.4889, 7.7151, 6.8565]"
27,5,0.932292,0.533333,0.164103,0.071795,"[19.8967, 11.5549, 7.7542, 7.1508, 5.9868]"
28,5,0.977444,0.631579,0.142857,0.090226,"[35.7192, 10.0854, 8.4829, 8.5272, 7.3918]"
29,5,0.953757,0.6,0.188571,0.085714,"[13.6731, 8.2794, 8.0008, 7.3519, 6.7883]"
