text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,5,7.3741,8.5562,8.4586,8.6064,1.182,1.0845,1.2323,0.160295,0.14707,0.167113
1,5,7.4378,7.8858,9.1937,8.4686,0.4479,1.7558,1.0308,0.060224,0.236069,0.138583
2,5,7.9764,9.4921,9.1328,9.1006,1.5157,1.1564,1.1242,0.190028,0.144975,0.140938
3,5,8.9437,10.7443,10.0325,10.3923,1.8005,1.0887,1.4485,0.201315,0.12173,0.161959
4,5,9.1383,11.5207,11.4577,10.5272,2.3824,2.3194,1.3889,0.260708,0.253813,0.151989
5,5,7.8024,8.3377,8.6622,8.6759,0.5354,0.8598,0.8735,0.068615,0.110194,0.111953
6,5,7.7941,8.6616,8.5813,8.8605,0.8675,0.7871,1.0664,0.1113,0.100988,0.136815
7,5,7.9528,9.695,10.277,9.1638,1.7422,2.3242,1.2111,0.219074,0.292252,0.152285
8,5,6.8878,9.758,9.5767,8.3706,2.8701,2.6888,1.4828,0.416695,0.39037,0.215275
9,5,6.7755,8.6717,9.7681,7.82,1.8962,2.9926,1.0445,0.279865,0.441684,0.154157
10,5,7.0609,8.7739,8.7215,8.094,1.713,1.6605,1.0331,0.242598,0.235173,0.146307
11,5,9.423,10.1382,10.0751,10.9422,0.7152,0.6522,1.5192,0.075903,0.069212,0.161226
12,5,9.0822,9.5795,11.0801,10.4598,0.4974,1.9979,1.3777,0.054764,0.219984,0.15169
13,5,7.0752,8.0974,7.9754,8.2041,1.0222,0.9002,1.1289,0.144479,0.127232,0.15956
14,5,6.876,8.2391,9.0943,7.8746,1.363,2.2183,0.9986,0.19823,0.322613,0.145228
15,5,5.4775,6.9871,7.4019,6.4363,1.5096,1.9244,0.9589,0.275602,0.351336,0.175062
16,5,8.112,9.1405,9.918,9.3749,1.0286,1.806,1.2629,0.126798,0.222634,0.155687
17,5,6.8946,8.2744,9.3887,8.0671,1.3798,2.4941,1.1725,0.200129,0.361753,0.170058
18,5,6.8753,8.1118,8.9569,8.2497,1.2366,2.0816,1.3745,0.179857,0.30277,0.199915
19,5,5.8739,6.7173,8.5964,7.1026,0.8433,2.7225,1.2287,0.143574,0.463489,0.209179
20,5,7.16,8.4432,9.5285,8.3564,1.2833,2.3685,1.1964,0.179226,0.330802,0.167096
21,5,9.2021,10.1719,11.2334,10.7438,0.9699,2.0314,1.5417,0.105396,0.220751,0.16754
22,5,7.7547,8.6959,9.1722,8.752,0.9412,1.4176,0.9973,0.121372,0.182802,0.128603
23,5,6.8743,7.6866,7.7171,7.9251,0.8123,0.8428,1.0508,0.118161,0.122601,0.152859
24,5,7.2663,9.2166,9.7804,8.4992,1.9503,2.5141,1.233,0.268406,0.345999,0.169686
25,5,7.5865,9.0255,9.3263,9.0464,1.439,1.7398,1.4599,0.189683,0.229327,0.192435
26,5,6.8565,8.3923,8.466,7.9242,1.5358,1.6095,1.0677,0.223989,0.234739,0.155723
27,5,5.9868,6.4059,7.6861,6.7193,0.4191,1.6993,0.7325,0.070001,0.283846,0.122348
28,5,7.3918,11.3228,10.3371,8.99,3.9311,2.9453,1.5982,0.531816,0.398462,0.216219
29,5,6.7883,8.0112,8.4489,7.7271,1.2229,1.6606,0.9388,0.180144,0.244627,0.138303
