text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.964824,0.646465,0.166667,0.080808,"[21.0142, 15.4764, 12.3958, 10.1466, 9.3188]"
1,5,0.935961,0.616915,0.164179,0.064677,"[18.5097, 11.6582, 11.663, 10.0805, 8.845]"
2,5,0.961538,0.673077,0.173077,0.089744,"[37.1791, 18.8357, 14.6288, 13.5802, 10.8847]"
3,5,0.963415,0.664634,0.152439,0.085366,"[37.1791, 20.4135, 13.2231, 10.8408, 10.9931]"
4,5,0.96,0.671233,0.143836,0.075342,"[33.767, 16.2905, 16.4008, 12.7537, 10.6455]"
5,5,0.922078,0.596026,0.15894,0.059603,"[25.6309, 15.2713, 14.6298, 13.3713, 10.9727]"
6,5,0.935484,0.627451,0.163399,0.084967,"[31.9856, 14.9158, 11.8064, 8.6826, 7.8906]"
7,5,0.950311,0.660377,0.157233,0.069182,"[37.1791, 20.4135, 14.6814, 12.3734, 11.61]"
8,5,0.960784,0.72973,0.195946,0.074324,"[33.767, 15.032, 15.2958, 12.6073, 12.309]"
9,5,0.916168,0.60479,0.155689,0.047904,"[31.9856, 14.9158, 10.5618, 9.7323, 8.3047]"
10,5,0.926136,0.62069,0.16092,0.086207,"[21.8568, 15.027, 12.4646, 10.981, 9.2209]"
11,5,0.96732,0.697987,0.147651,0.080537,"[29.4527, 22.5466, 17.1979, 15.0552, 12.794]"
12,5,0.953488,0.700787,0.173228,0.070866,"[33.767, 16.411, 11.5295, 10.1343, 8.9171]"
13,5,0.97006,0.662577,0.165644,0.079755,"[20.2806, 16.3653, 16.1946, 14.6889, 12.128]"
14,5,0.962733,0.658385,0.15528,0.068323,"[29.7737, 16.428, 12.9337, 11.067, 7.8981]"
15,5,0.951807,0.660606,0.157576,0.060606,"[24.9644, 14.3493, 12.9406, 11.0517, 9.338]"
16,5,0.964789,0.728571,0.171429,0.071429,"[37.1791, 20.1897, 13.3202, 13.5309, 11.6479]"
17,5,0.941935,0.693333,0.186667,0.08,"[33.767, 12.2618, 10.5988, 9.4021, 7.8041]"
18,5,0.975904,0.689441,0.173913,0.093168,"[22.333, 15.3475, 13.5639, 13.6107, 11.1448]"
19,5,0.928571,0.653333,0.173333,0.073333,"[31.9856, 17.1158, 12.009, 10.5756, 8.4678]"
20,5,0.957746,0.65534,0.169903,0.07767,"[22.0467, 16.3793, 13.1289, 11.6663, 11.0323]"
21,5,0.955975,0.72549,0.169935,0.078431,"[21.2307, 13.2376, 11.5179, 12.158, 11.8191]"
22,5,0.933333,0.587629,0.134021,0.087629,"[22.5294, 14.3541, 12.2233, 11.7025, 9.7752]"
23,5,0.926316,0.636364,0.165775,0.085561,"[21.6339, 15.8583, 13.2499, 10.0777, 9.1124]"
24,5,0.970414,0.680982,0.171779,0.104294,"[26.3248, 14.317, 13.8928, 12.857, 10.3394]"
25,5,0.93956,0.638418,0.169492,0.067797,"[22.4452, 11.2185, 10.4493, 10.6506, 8.768]"
26,5,0.930233,0.646707,0.161677,0.071856,"[37.1791, 17.2852, 13.0976, 11.3987, 9.4432]"
27,5,0.973684,0.671141,0.208054,0.067114,"[27.6348, 19.9863, 13.8627, 13.1257, 10.9167]"
28,5,0.992754,0.722628,0.160584,0.065693,"[20.1857, 18.5727, 16.6523, 14.9789, 11.3008]"
29,5,0.935484,0.657895,0.164474,0.046053,"[37.1791, 20.1897, 15.3826, 13.0662, 12.3258]"
