text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.939759,0.598802,0.179641,0.125749,"[21.8725, 13.5674, 9.0301, 9.183, 8.6003]"
1,5,0.934911,0.581395,0.168605,0.075581,"[25.6868, 14.8472, 10.4611, 9.8426, 8.2509]"
2,5,0.945455,0.565476,0.166667,0.065476,"[29.7517, 15.9613, 11.0187, 9.2303, 8.3236]"
3,5,0.937888,0.587879,0.163636,0.066667,"[29.9438, 20.7341, 14.2437, 10.9495, 9.4063]"
4,5,0.947644,0.612565,0.146597,0.078534,"[12.0963, 10.0158, 8.6509, 8.203, 7.3154]"
5,5,0.958824,0.641618,0.17341,0.075145,"[23.5257, 15.0984, 10.5733, 9.6596, 9.2039]"
6,5,0.966216,0.61039,0.162338,0.123377,"[27.8065, 23.7285, 13.0586, 9.5659, 7.9754]"
7,5,0.947368,0.625731,0.181287,0.076023,"[22.3243, 14.8423, 11.5338, 11.0803, 8.8762]"
8,5,0.980892,0.626582,0.170886,0.082278,"[30.5411, 15.1972, 13.1039, 10.251, 8.8724]"
9,5,0.955128,0.627329,0.136646,0.068323,"[32.9644, 12.6216, 10.4414, 8.8203, 8.2401]"
10,5,0.987421,0.652174,0.15528,0.086957,"[31.4136, 15.0616, 11.4423, 9.8333, 8.6958]"
11,5,0.968553,0.623457,0.160494,0.080247,"[24.0441, 18.6254, 13.1874, 11.8148, 9.3994]"
12,5,0.962025,0.66875,0.1625,0.10625,"[50.6309, 10.9334, 10.391, 8.9723, 7.634]"
13,5,0.96875,0.6625,0.1625,0.10625,"[25.526, 18.704, 12.9625, 9.1856, 10.0717]"
14,5,0.955307,0.579235,0.185792,0.092896,"[18.2025, 12.096, 9.6849, 8.2662, 7.7469]"
15,5,0.963636,0.652439,0.182927,0.073171,"[12.3796, 9.4351, 7.8439, 8.5835, 7.9284]"
16,5,0.927778,0.59116,0.176796,0.088398,"[18.7215, 14.5311, 11.3427, 10.404, 9.7368]"
17,5,0.952381,0.609467,0.153846,0.088757,"[16.9989, 12.6732, 9.5984, 9.3088, 8.4634]"
18,5,0.940397,0.615385,0.185897,0.064103,"[30.4919, 17.1258, 13.8195, 11.3612, 10.7254]"
19,5,0.955696,0.601266,0.151899,0.088608,"[18.3845, 11.1554, 8.8105, 9.1901, 8.0783]"
20,5,0.947368,0.604651,0.186047,0.075581,"[18.7944, 12.9869, 9.6173, 8.7316, 7.5826]"
21,5,0.973154,0.633333,0.2,0.06,"[29.7517, 16.0361, 10.8321, 9.9922, 7.8269]"
22,5,0.95082,0.592593,0.169312,0.074074,"[28.0948, 13.8356, 10.5569, 9.0873, 7.7261]"
23,5,0.952096,0.598802,0.161677,0.065868,"[25.7901, 17.0988, 10.7377, 11.1267, 9.1162]"
24,5,0.975155,0.595092,0.165644,0.07362,"[25.8819, 17.7447, 11.3288, 9.7577, 8.4944]"
25,5,0.946809,0.559585,0.176166,0.088083,"[14.7719, 11.1591, 9.317, 8.4137, 7.8373]"
26,5,0.986755,0.616883,0.155844,0.097403,"[31.3762, 18.6311, 11.6153, 11.2644, 9.6341]"
27,5,0.927374,0.540541,0.156757,0.086486,"[25.3442, 13.2753, 10.2319, 9.3462, 7.1156]"
28,5,0.953757,0.632184,0.178161,0.074713,"[25.4465, 14.8913, 11.491, 9.8744, 8.3197]"
29,5,0.97006,0.619048,0.166667,0.095238,"[50.6309, 11.4496, 8.679, 8.6043, 7.5636]"
