text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,5,8.6003,10.1686,10.8775,9.7667,1.5683,2.2772,1.1664,0.182351,0.264777,0.135623
1,5,8.2509,9.9605,10.2474,9.4038,1.7096,1.9965,1.153,0.207208,0.241975,0.139741
2,5,8.3236,11.4377,11.7562,9.474,3.1141,3.4326,1.1504,0.374134,0.412394,0.138212
3,5,9.4063,11.692,13.0665,10.8752,2.2857,3.6602,1.4689,0.243001,0.389122,0.156162
4,5,7.3154,9.2749,9.0172,8.5287,1.9595,1.7018,1.2133,0.267859,0.232631,0.165855
5,5,9.2039,11.9113,13.6935,10.5462,2.7074,4.4896,1.3423,0.294161,0.487795,0.14584
6,5,7.9754,10.2257,10.0815,9.5195,2.2502,2.1061,1.5441,0.282148,0.264077,0.19361
7,5,8.8762,11.2029,12.4447,10.1914,2.3266,3.5684,1.3151,0.262119,0.402023,0.148164
8,5,8.8724,11.2596,12.1117,10.3224,2.3871,3.2393,1.45,0.269053,0.365098,0.163425
9,5,8.2401,11.0492,10.4208,9.6765,2.8091,2.1807,1.4364,0.340903,0.264642,0.174313
10,5,8.6958,9.6089,10.2722,9.85,0.9131,1.5764,1.1542,0.105001,0.181284,0.132727
11,5,9.3994,11.6681,11.636,10.8889,2.2687,2.2366,1.4895,0.241369,0.23795,0.158471
12,5,7.634,9.4662,11.2075,9.3648,1.8323,3.5736,1.7309,0.240015,0.468116,0.226734
13,5,10.0717,10.9247,11.7382,11.2182,0.853,1.6664,1.1465,0.084692,0.165458,0.113831
14,5,7.7469,9.6306,11.0424,9.0299,1.8838,3.2955,1.283,0.243164,0.425402,0.165617
15,5,7.9284,9.7422,11.6,9.629,1.8138,3.6717,1.7006,0.228779,0.463103,0.214496
16,5,9.7368,11.5589,11.5954,10.8248,1.8221,1.8586,1.088,0.187134,0.190883,0.111743
17,5,8.4634,10.3102,10.9084,9.7252,1.8468,2.445,1.2618,0.218213,0.288892,0.149095
18,5,10.7254,13.5216,13.0615,12.1642,2.7962,2.3361,1.4388,0.260704,0.217809,0.134145
19,5,8.0783,12.3439,11.059,9.8921,4.2656,2.9808,1.8138,0.528035,0.368984,0.224528
20,5,7.5826,10.8737,9.6506,8.8822,3.291,2.0679,1.2996,0.434019,0.272719,0.171386
21,5,7.8269,10.5862,12.0155,9.3063,2.7593,4.1886,1.4794,0.352538,0.535155,0.189013
22,5,7.7261,8.6479,9.3027,8.7511,0.9218,1.5767,1.025,0.119312,0.204075,0.13267
23,5,9.1162,12.1522,12.1673,10.5895,3.036,3.0511,1.4733,0.333034,0.334685,0.161608
24,5,8.4944,11.4976,12.3468,10.1738,3.0032,3.8524,1.6794,0.353551,0.453518,0.197709
25,5,7.8373,9.9005,10.9847,9.1339,2.0632,3.1474,1.2966,0.263251,0.401598,0.165445
26,5,9.6341,12.7947,13.2905,11.4636,3.1606,3.6564,1.8295,0.328067,0.379527,0.189897
27,5,7.1156,7.7339,9.3149,7.9393,0.6183,2.1993,0.8238,0.086894,0.309081,0.115768
28,5,8.3197,10.6568,10.7575,9.8314,2.3371,2.4378,1.5117,0.280914,0.293019,0.181703
29,5,7.5636,9.9472,10.6291,9.0954,2.3836,3.0655,1.5317,0.315141,0.405294,0.202515
