text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.970297,0.621359,0.135922,0.087379,"[13.3915, 11.8536, 9.7699, 9.0561, 8.2057]"
1,5,0.966216,0.702703,0.162162,0.101351,"[25.2272, 14.2203, 12.5319, 10.6069, 9.1765]"
2,5,0.95122,0.597633,0.159763,0.08284,"[14.9658, 11.8457, 9.9394, 8.2649, 6.8197]"
3,5,0.970588,0.651515,0.159091,0.098485,"[25.2272, 12.381, 11.8211, 9.3256, 9.0875]"
4,5,0.940299,0.597087,0.15534,0.097087,"[15.4601, 12.4521, 9.4005, 8.9968, 8.6386]"
5,5,0.944444,0.581818,0.145455,0.090909,"[12.174, 8.444, 8.4534, 8.0219, 7.1574]"
6,5,0.966667,0.631579,0.151316,0.072368,"[23.9404, 14.6894, 8.6879, 7.8809, 7.3148]"
7,5,0.975,0.619632,0.141104,0.08589,"[22.8913, 14.1158, 10.2039, 8.9557, 7.7471]"
8,5,0.949438,0.620112,0.145251,0.072626,"[9.2274, 10.3972, 9.3494, 8.2661, 7.209]"
9,5,0.987261,0.628205,0.147436,0.102564,"[21.8728, 13.1313, 11.1895, 9.3963, 8.2337]"
10,5,0.978873,0.689655,0.131034,0.082759,"[31.6023, 21.2443, 12.7336, 11.9235, 9.8466]"
11,5,0.966887,0.639456,0.176871,0.07483,"[25.2272, 14.4473, 14.1853, 10.5557, 9.9471]"
12,5,0.947368,0.593023,0.156977,0.081395,"[25.2272, 14.7064, 12.2519, 10.9349, 8.6887]"
13,5,0.967742,0.641026,0.121795,0.096154,"[22.8913, 15.1418, 10.0995, 9.6214, 8.1682]"
14,5,0.969512,0.63125,0.1625,0.075,"[14.2331, 12.7963, 10.7471, 9.3405, 7.4652]"
15,5,0.951351,0.571429,0.159341,0.065934,"[25.2272, 14.4495, 11.686, 10.317, 9.1171]"
16,5,0.935294,0.609195,0.143678,0.091954,"[18.8133, 12.331, 8.8518, 7.4782, 7.0965]"
17,5,0.960265,0.642857,0.168831,0.084416,"[33.3434, 16.0173, 12.5725, 12.0043, 9.398]"
18,5,0.983146,0.638889,0.144444,0.094444,"[22.8913, 15.4304, 10.5522, 9.4444, 8.1103]"
19,5,0.967949,0.64375,0.13125,0.10625,"[21.8728, 15.3137, 12.4735, 10.5651, 9.2087]"
20,5,0.955446,0.589372,0.15942,0.067633,"[13.1006, 10.7339, 8.9104, 7.5114, 7.2187]"
21,5,0.976879,0.625,0.136364,0.073864,"[13.2166, 11.0066, 8.3552, 7.6938, 7.6088]"
22,5,0.957317,0.598802,0.131737,0.095808,"[15.1477, 10.0003, 8.0565, 7.7755, 7.1732]"
23,5,0.965753,0.668966,0.172414,0.082759,"[25.2272, 12.7683, 10.5765, 8.9021, 8.5681]"
24,5,0.972222,0.636986,0.143836,0.10274,"[13.3454, 11.066, 9.5336, 7.9817, 8.0957]"
25,5,0.970238,0.593023,0.168605,0.075581,"[25.2272, 14.2446, 9.6334, 8.1948, 7.0198]"
26,5,0.955056,0.576923,0.126374,0.076923,"[15.4428, 12.8298, 9.8341, 8.548, 7.3208]"
27,5,0.962264,0.654088,0.144654,0.09434,"[21.8728, 10.5392, 9.4925, 7.7671, 7.9515]"
28,5,0.939394,0.60479,0.149701,0.08982,"[15.1486, 11.959, 10.3502, 9.1806, 8.3112]"
29,5,0.946524,0.602094,0.157068,0.089005,"[16.1195, 10.6454, 9.2567, 8.0968, 7.5795]"
